                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6366,                 4.2652,                  2.182,                 0.3114,                0.25735,                0.19531,                0.10568,                 3.2087,                 4.7908,                 2.4719,             0.00066242,             0.00066242,             0.00066242
                      2,                 2.5627,                 3.0977,                 2.1552,                0.52479,                0.30831,                0.41531,                 0.2771,                 2.1957,                 3.9123,                 2.0868,              0.0012633,              0.0012633,              0.0012633
                      3,                 2.4994,                 2.7719,                 2.1407,                0.42426,                0.57324,                0.42609,                0.23221,                 2.8711,                 3.2541,                 2.4464,              0.0017982,              0.0017982,              0.0017982
                      4,                  2.505,                 2.6457,                 2.1453,                0.50345,                0.55868,                 0.5272,                 0.3368,                 2.3805,                 2.8901,                 2.1595,               0.001703,               0.001703,               0.001703
                      5,                 2.4464,                 2.5406,                  2.128,                0.40926,                0.55196,                0.42552,                0.25578,                 2.7935,                    3.2,                 2.2678,               0.001604,               0.001604,               0.001604
                      6,                 2.4086,                 2.4654,                 2.1092,                0.16129,                0.86003,                0.32882,                0.21585,                  2.451,                 5.4733,                 2.2458,               0.001505,               0.001505,               0.001505
                      7,                 2.3815,                 2.3582,                 2.1031,                0.58481,                0.69367,                0.65457,                0.43476,                 2.2355,                 2.0602,                 2.1039,               0.001406,               0.001406,               0.001406
                      8,                 2.3649,                  2.373,                 2.0977,                0.45034,                0.69085,                0.49788,                0.34231,                 2.1696,                 2.5798,                 2.0648,               0.001307,               0.001307,               0.001307
                      9,                 2.3348,                 2.3323,                 2.0836,                0.60683,                0.71832,                0.68725,                0.45798,                 2.1444,                 2.0744,                 2.0456,               0.001208,               0.001208,               0.001208
                     10,                 2.3215,                  2.277,                  2.075,                0.51149,                0.67669,                0.61523,                0.42135,                  2.076,                 2.3088,                 2.0118,               0.001109,               0.001109,               0.001109
                     11,                 2.2244,                 2.1852,                 2.0835,                0.54869,                0.64486,                0.60568,                0.41195,                 2.1639,                 2.2852,                 2.0625,                0.00101,                0.00101,                0.00101
                     12,                 2.2024,                 2.1054,                 2.0666,                0.63936,                0.66418,                0.68977,                0.47938,                 2.0781,                 2.3699,                 2.0117,               0.000911,               0.000911,               0.000911
                     13,                 2.1692,                 2.0979,                 2.0547,                0.58895,                 0.7019,                0.67172,                0.46879,                 2.0652,                 2.1899,                 2.0011,               0.000812,               0.000812,               0.000812
                     14,                 2.1647,                 2.0581,                 2.0593,                 0.6885,                0.68789,                0.73932,                0.50676,                   2.14,                 2.2595,                 2.0449,               0.000713,               0.000713,               0.000713
                     15,                 2.1558,                 2.0093,                 2.0581,                0.49078,                0.74558,                 0.5877,                0.42077,                 1.9965,                 3.0837,                 1.9937,               0.000614,               0.000614,               0.000614
                     16,                  2.126,                 1.9631,                 2.0377,                0.64707,                0.77022,                0.75195,                0.53266,                 1.9782,                 1.7197,                 1.9755,               0.000515,               0.000515,               0.000515
                     17,                 2.1027,                 1.9434,                 2.0255,                0.68397,                0.76351,                0.77747,                0.54515,                 2.0286,                 1.6763,                 1.9892,               0.000416,               0.000416,               0.000416
                     18,                 2.0872,                  1.888,                 2.0213,                0.70506,                0.79122,                0.80855,                0.57879,                 1.9335,                  1.609,                 1.9493,               0.000317,               0.000317,               0.000317
                     19,                 2.0512,                 4.4412,                  2.001,                0.70483,                0.77941,                0.81319,                0.58481,                 1.9074,                 1.6519,                 1.9488,               0.000218,               0.000218,               0.000218
                     20,                 2.0414,                  1.821,                 1.9978,                 0.7184,                0.78461,                0.81857,                0.58764,                 1.9018,                 1.5465,                 1.9532,               0.000119,               0.000119,               0.000119
